/* isbn|author|title|price|subject */
452272971|Sebastien Japrisot, Linda Coverdale|A Very Long Engagement|14|FICTION
1573225312|Chang-Rae Lee|Native Speaker|12.95|FICTION
156007754|Jose Saramago, Giovanni Pontiero|Blindness|14|FICTION
393316009|Andrea Barrett|Ship Fever|12|FICTION
811213668|W. G. Sebald, Michael Hulse|The Emigrants|10.95|FICTION
067976674X|Alice Munro|Selected Stories|16|FICTION
151004714|Claire Messud|The Last Life|24|FICTION
038071115X|Tracy Kidder|The Soul of a New Machine|12.5|FICTION
393314251|Stephen Jay Gould|The Mismeasure of Man|15.95|FICTION
067100767X| V.C. Andrews|Rain|7.99|FICTION
471597619|Gary D. Christian|Analytical Chemistry|103|SCIENCE
30303370|William Rife|Essentials of Chemistry|79.55|SCIENCE
30059380|Douglas A. Skooq|Fundamentals of Analytical Chemistry|118.5|SCIENCE
093570261x|Roger L. Dekock|Chemical Structure and Bonding|36.55|SCIENCE
1565926269|Steven Roman|Access Database Design And Programming|27.01|COMPUTER SCIENCE
138613370|Jeffrey D. Ullman|A First Course in Database Systems|65|COMPUTER SCIENCE
201709287|C.J. Date, Hugh Darwen|Foundation for Future Database Systems: The Third Manifesto|39.95|COMPUTER SCIENCE
750650869|David Howe|Data Analysis for Database Design|32.95|COMPUTER SCIENCE
810961695|Edward Steichen|The Family of Man|15.96|GENERAL
671880756|Thomas Hoving|Making the Mummies Dance|21.95|GENERAL
810936852|Peter H Hassrick |The Georgia O_Keeffe Museum|28|GENERAL
789305003|Los Angeles County Museum of Art|California Pop-Up Book|36|GENERAL
1878529234|Craig Clunas|Chinese Furniture|45|GENERAL
967697603|Mercedes Lee |Seafood Lovers Almanac|19.95|GENERAL
688161995|Chris Schlesinger|How to Cook Meat|28|GENERAL
811716937|Jerry Predika|The Sausage Making Cookbook|14.36|GENERAL
688127371|James A. Peterson|Fish and Shellfish|32|GENERAL
882664778|Charles G. Reavis|Home Sausage Making|11.96|GENERAL
70498415|Robert H. Perry|Perrys Chemical Engineers Handbook|150|SCIENCE
120594757|Neal G. Anderson|Practical Process Research and  Development|89.95|SCIENCE
70571864|Gershon J. Shugar|Chemical Technicians Ready Reference Handbook|89.95|SCIENCE
471534781|Richard M. Felder|Elementary Principles of Chemical Processes|111.95|SCIENCE
70349096|Henry Z. Kister|Distillation Design|79.95|SCIENCE
316695262|George P. Pelecanos|Right as Rain|19.96|FICTION
688163165|Dennis Lehane|Mystic River|15|FICTION
316154075|Michael Connelly|A Darkness More than Night|15.57|FICTION
399147020|Nevada Barr|Blood Lure |14.97|FICTION
399146652|Lilian Jackson Braun|The Cat Who Smelled a Rat |14.37|FICTION
465041752|Frans de Waal|The Ape and the Sushi Master|20.8|FICTION
471135615|Robert Zubrin|Islands In the Sky: Bold New Ideas for Colonizing Space|13.45|FICTION
874779758|Robert Zubrin|Entering Space|19.96|FICTION
374141231|Ian Wilmut, Colin Tudge, Keith Campbell |The Second Creation: Dolly and the Age of Biological Control|21.6|FICTION
198503652|Susan J. Blackmore|The Meme Machine|20|FICTION
262133822|Faith D Aluisio|Robo Sapiens: Evolution of a New Species|23.96|COMPUTER SCIENCE
792393651|Jonalthan H. Connell, Sridhar Mahadevan (Editor)|Robot Learning|120|COMPUTER SCIENCE
1902618351|Mei Lim (Illustrator)|My TV is Alive!: Real Life Robots, Future Computers and Clones|4.95|COMPUTER SCIENCE
850668093|Mansour Rahimi (Editor, Waldemar Karwowski (Editor)|Human-Robot Interaction|110|COMPUTER SCIENCE
262041642|Marco Dorigo, Marco Colombetti|Robot Shaping: An Experiment in Behavior Engineering|42|COMPUTER SCIENCE
590262540|K.A. Applegate|The Threat|4.99|FICTION
590496379|K.A. Applegate|The Discovery|4.99|FICTION
590956159|K.A. Applegate|In the Time of Dinosausrs|4.99|FICTION
590494414|K.A. Applegate|The Decision|4.99|FICTION
590494368|K.A. Applegate|The Underground|4.99|FICTION
911625607|Doug Lowe|CICS for the Cobol Programmer|36.5|COMPUTER SCIENCE
911625852|Doug Lowe|MVS JCL for the Cobol Programmer|36.5|COMPUTER SCIENCE
911625593|Steve Eckols|DB2 for the Cobol Programmer|36.5|COMPUTER SCIENCE
911625291|Steve Eckols|IMS for the Cobol Programmer|36.5|COMPUTER SCIENCE
911625453|Doug Lowe|VSAM for the Cobol Programmer|27.5|COMPUTER SCIENCE
534944469|Susanna S. Epp|Discrete Mathematics with Applications|64.65|SCIENCE
471587192|Garret J.Etgen|SALAS and HILLES CALCULUS|84.5|SCIENCE
130264857|Jan Fair and Sadie Bragg|Algebra 1|54.8|SCIENCE
125535600|GM Phillips and PJ Taylor|Theory and Applications of Numerical Analysis|75.25|SCIENCE
812093119|Martin Sternstein|Statistics|19.95|SCIENCE
78823927|Herb Schildt|Teach yourself C++|27.99|COMPUTER SCIENCE
130273635|Bruce Eckel|Thinking in Java|35.99|COMPUTER SCIENCE
1884133258|Jamsa Klander|C/C++ programmer's bible|49.99|COMPUTER SCIENCE
760049254|Philip Pratt|The Concepts of Database|26|COMPUTER SCIENCE
78823978|Thomas Powell|The complete reference HTML|39.99|COMPUTER SCIENCE
083512035x|Liu Zongen|Two Year in the Melting pot|12.99|GENERAL
669076791|James Wilson|American Government|39.95|GENERAL
737800033| John H. Johnson|Every Wall a ladder|7.95|GENERAL
156007088|John Lewis|Walking with the Wind|15|GENERAL
314129499|Welch Gruhlt|American Government|41.99|GENERAL
256228779|Gilbert churchill, Paul Petter|Marketing: Creating Value for Customers|60.25|GENERAL
130819735|Jame Laudon|Essentials of management|75|GENERAL
838479022|Elizabeth Byleen|Looking Ahead|31.95|GENERAL
471169196|Kimmel Weygandt|Financial Accounting: tools for business decision making|81.99|GENERAL
553102370|Michael Crichton|Eaters of the Dead|1.5|FICTION
449202496|Erich Maria Remarque|All Quiet on the Western Front|2.95|FICTION
345370775|Michael Crichton|Jurassic Park|6.99|FICTION
553283936|Frederick Forsyth|The Negotiator|5.95|FICTION
345417623|Michael Crichton|Timeline|7.99|FICTION
1576572862|Nancy Parent|The Little Green Fish|6.95|CHILDREN
528838180|Ran McNally|Coast-to-Coast Games|3.95|CHILDREN
1576573842|Nancy Parent|Santa's Workshop|5.95|CHILDREN
689829531|Ian Falconer|Olivia|12.8|CHILDREN
967174805|Carl R. Sam and Jean Stoick|Stranger in the Woods|15.96|CHILDREN
761117199|Ann Byin and Anthony Loew|The Cake Mix Doctor|13.45|GENERAL
60393645|Marilu Henner and Lorin Henner|Healthy Life Kitchen|20.8|GENERAL
962593460X|Ryuichi Yoshii|Sushi|14.36|GENERAL
062593460X|Janet Podleski, Greta Podleski, Ted Martin|Crazy Plates|17.95|GENERAL
743202104|M. Becker, Marion Becker, Ethan Becker|Joy of Cooking Soups and Stews|15.96|GENERAL
609607995|Edwin Black|IBM and the Holocaust|24|GENERAL
1586480103|Andy Rooney and Tom Brokaw|MyWar|15|GENERAL
809299674|Adrian Wood|The Second World War in Color|23.67|GENERAL
375502025|Tom Brokaw|The Greatest Generation|10|GENERAL
037541164X|Gurcharan Das|India Unbound|5|GENERAL
936184388|Carl Tremblay|The Best Recipe|32|GENERAL
807825859|Ann Hawthorne|Not Afraid of Flavor|22|GENERAL
684818701|Maria D. Guarnaschelli|The New Joy of Cooking|56|GENERAL
689829418|Preiss-Glasser|Totally the Messiest|12|CHILDREN
440413729|Ruth White|Belle Prater's Boy|4|CHILDREN
684856093|Sean Covey|The 7 Habits|12|CHILDREN
60287659|Geraldine McCaughrean|The Stones Are Hatching|17|CHILDREN
689836015|E. L. Konigsburg|Silent to the Bone|107|CHILDREN
385326653|David Almond|Kits Wilderness|56|CHILDREN
72127481|Joel Scambray|HACKING EXPOSED: NETWORK SECURITY SECRETS AND SOLUTIONS|31.99|COMPUTER SCIENCE
020163371X|Scott Meyers|More Effective C++ : 35 New Ways to Improve Your Programs and Designs |39.95|COMPUTER SCIENCE
201700735|Bjarne Stroustrup|The C++ Programming Language Special Edition|59.95|COMPUTER SCIENCE
201615622|Herb Sutter|Exceptional C++: 47 Engineering Puzzles, Programming Problems|59.95|COMPUTER SCIENCE
201379260|Nicolai M. Josuttis|The C++ Standard Library : A Tutorial and Reference|69.95|COMPUTER SCIENCE
014051452X|Richard Cook|The Penguin Guide to Jazz on C.d (Penguin Guide to Jazz on Cd, 5th Ed)|19.85|GENERAL
375400818|Robert Kimball |Reading Lyrics|31.6|GENERAL
962477060|Bill Edwards|Fretboard Logic SE: Volumes Combined|20.85|GENERAL
067944551X|Geoffrey C. Ward|Jazz : A History of American Music|52|GENERAL
961470151|Mark Levine|The Jazz Piano Book|56|GENERAL
387987010|Peter Douglas Ward|Rare Earth: Why Complex Life is Uncommon in the Universe|34.34|SCIENCE
813527406|Iris Fry|The Emergence of Life on Earth : A Historical and Scientific Overview|64.34|SCIENCE
738201960|Christopher Wills|The Spark of Life : Darwin and the Primeval Soup|72.34|SCIENCE
716736381|Niles Eldredge|The Triumph of Evolution...And the Failure of Creationism|48.95|SCIENCE
60930497|Kenneth R. Miller|Finding Darwin God:  Scientists Search for Common Ground|58.95|SCIENCE
apple|123|apple|123|123
banana|123|banana|123|123
hash33|123|hash33|123|123
